date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta
201301021900,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301022000,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301022100,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301022200,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301022300,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301030000,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301030100,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301030200,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301030300,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301030400,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301030500,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301030600,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301030700,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301030800,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301030900,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301031000,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301031100,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301031200,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301031300,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301031400,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301031500,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301031600,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301031700,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301031800,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301031900,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301032000,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301032100,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301032200,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301032300,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301040000,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301040100,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301040200,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301040300,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301040400,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301040500,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301040600,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301040700,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301040800,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301040900,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301041000,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301041100,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301041200,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301041300,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301041400,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301041500,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301041600,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301041700,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301041800,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301041900,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301042000,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301042100,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301042200,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301042300,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301050000,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301050100,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301050200,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301050300,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301050400,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301050500,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301050600,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301050700,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301050800,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301050900,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301051000,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301051100,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301051200,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301051300,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301051400,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301051500,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301051600,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301051700,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301051800,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301051900,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301052000,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301052100,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301052200,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301052300,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301060000,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301060100,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301060200,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301060300,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301060400,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301060500,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301060600,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301060700,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301060800,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301060900,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301061000,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301061100,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301061200,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301061300,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301061400,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301061500,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301061600,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301061700,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301061800,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301061900,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301062000,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301062100,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301062200,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301062300,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301070000,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301070100,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301070200,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301070300,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301070400,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301070500,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301070600,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301070700,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301070800,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301070900,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301071000,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301071100,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301071200,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301071300,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301071400,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301071500,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301071600,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301071700,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301071800,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301071900,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301072000,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301072100,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301072200,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301072300,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301080000,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301080100,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301080200,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301080300,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301080400,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301080500,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301080600,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301080700,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301080800,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301080900,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301081000,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301081100,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301081200,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301081300,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301081400,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301081500,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301081600,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301081700,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301081800,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301081900,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301082000,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301082100,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301082200,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301082300,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301090000,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301090100,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301090200,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301090300,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301090400,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301090500,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301090600,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301090700,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301090800,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301090900,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301091000,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301091100,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301091200,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301091300,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301091400,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301091500,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301091600,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301091700,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301091800,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301091900,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301092000,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301092100,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301092200,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301092300,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301100000,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301100100,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301100200,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301100300,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301100400,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301100500,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301100600,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301100700,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301100800,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301100900,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301101000,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301101100,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301101200,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301101300,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301101400,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301101500,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301101600,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301101700,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301101800,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301101900,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301102000,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301102100,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301102200,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301102300,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301110000,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301110100,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301110200,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301110300,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301110400,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301110500,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301110600,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301110700,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301110800,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301110900,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301111000,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301111100,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301111200,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301111300,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301111400,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301111500,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301111600,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301111700,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301111800,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301111900,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301112000,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301112100,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301112200,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301112300,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301120000,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301120100,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301120200,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301120300,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301120400,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301120500,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301120600,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301120700,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301120800,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301120900,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301121000,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301121100,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301121200,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301121300,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301121400,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301121500,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301121600,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301121700,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301121800,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301121900,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301122000,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301122100,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301122200,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301122300,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301130000,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301130100,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301130200,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301130300,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301130400,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301130500,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301130600,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301130700,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301130800,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301130900,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301131000,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301131100,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301131200,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301131300,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301131400,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301131500,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301131600,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
