date,Vancouver,Portland,SanFrancisco,Seattle,LosAngeles,SanDiego,LasVegas,Phoenix,Albuquerque,SanAntonio,Dallas,Houston,KansasCity,SaintLouis,Chicago,Nashville,Indianapolis,Atlanta,Denver,Minneapolis,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,NewYork,Montreal,Boston,Beersheba,TelAvivDistrict,Eilat,Haifa,Nahariyya,Jerusalem
201301022100,34.43,37.724,50.162,40.082,59.054,59.738,44.528,54.086,29.714,53.042,40.118,53.15,22.352,25.898,24.746,38.696,25.718,50.936,30.2,11.23,25.65,73.56,49.28,75.15,28.78,21.06,38.19,37.26,9.93,30.11,56.34,57.2,53.42,60.04,60.04,52.86
201301022200,34.52,38.318,51.674,40.208,58.784,58.73,45.5,53.564,29.39,51.368,39.308,52.898,22.658,25.376,22.712,38.696,24.242,50.504,28.13,12.25,22.84,71.42,49.57,74.91,27.34,19.74,37.54,35.64,8.11,29.07,50.2,50.93,46.4,60.04,60.04,52.86
201301022300,33.944,37.724,51.764,39.596,59.252,57.884,45.842,53.618,28.022,48.83,37.94,51.764,21.434,23.828,19.778,38.696,21.884,50.864,27.03,12.9,21.74,66.09,49.69,72.95,26.49,18.59,36.72,34.11,7.11,27.91,55,57.2,46.51,60.04,60.04,52.86
201301030000,33.188,35.222,51.53,38.102,59.18,56.462,44.906,52.016,25.772,46.49,37.292,50.378,18.95,21.938,16.862,38.696,19.634,50.702,23.14,14.29,20.68,61.41,49.37,70.61,26.02,17.92,35.47,32.59,5.36,26.11,54,57.2,52.88,60.04,60.04,52.86
201301030100,32.63,33.728,49.19,35.888,55.814,54.59,42.584,49.334,23.324,45.356,36.968,49.46,17.618,20.768,16.34,37.094,20.012,50.63,20.93,15.76,18.61,59.76,48.9,69.35,24.96,15.26,34.23,31.64,4.17,24.57,54,57.2,48.2,60.04,60.04,52.86
201301030200,32.432,32.684,46.778,35.366,52.898,53.996,39.722,46.148,21.812,44.456,36.716,48.38,16.232,20.102,15.134,35.546,19.634,50.702,20.66,16.65,18.07,59.04,49.17,68.47,24.33,17.91,33.26,30.13,3.85,22.75,54,49.26,47.39,60.04,60.04,52.86
201301030300,31.82,31.172,44.222,34.826,52.862,53.366,37.634,43.484,20.624,43.772,36.014,47.156,16.286,18.878,13.856,35.168,17.888,50.864,20.39,17.85,19.04,58.35,48.9,68.23,23.29,21.09,32.05,28.38,3.94,20.82,53.01,54.82,49.91,60.04,60.04,52.86
201301030400,32.108,31.172,43.934,34.016,52.088,52.664,38.102,43.268,20.048,43.898,35.69,46.724,14.576,18.914,13.316,33.8,16.394,50.846,18.34,18.79,19.85,56.68,48.4,66.94,22.73,20.3,31.28,27.09,4.96,19.54,53.01,54.25,51.64,60.04,60.04,52.86
201301030500,30.668,29.498,39.686,33.206,48.524,51.746,37.148,43.34,18.554,40.172,35.402,45.68,14.702,17.438,11.336,32.648,15.818,50.054,18.48,19.31,20.75,55.67,48.43,63.28,21.88,19,29.25,25.39,7.36,18.23,53.01,53.56,51.64,60.04,60.04,52.86
201301030600,33.512,28.094,39.848,31.226,45.644,49.064,35.51,41.288,17.51,40.28,33.674,43.394,16.358,17.312,15.368,29.984,11.66,48.092,14.83,12.73,16.84,58.2,47.96,67.07,17.2,20.03,26.4,24.06,5.84,17.12,55.5,52.86,48.54,60.04,60.04,52.86
201301030700,36.338,26.69,39.992,29.228,42.764,46.382,33.854,39.236,16.466,40.37,31.928,41.09,18.014,17.168,19.4,27.302,7.502,46.112,11.17,6.15,12.94,60.73,47.48,70.86,12.51,21.06,23.56,22.73,4.32,16.02,57.99,61.34,56.8,63.14,63.14,61.34
201301030800,36.338,26.69,39.992,29.228,42.764,46.382,33.854,39.236,16.466,40.37,31.928,41.09,18.014,17.168,19.4,27.302,7.502,46.112,11.17,6.15,12.94,60.73,47.48,70.86,12.51,21.06,23.56,22.73,4.32,16.02,57.99,61.34,56.8,63.14,63.14,61.34
201301030900,36.338,26.69,39.992,29.228,42.764,46.382,33.854,39.236,16.466,40.37,31.928,41.09,18.014,17.168,19.4,27.302,7.502,46.112,11.17,6.15,12.94,60.73,47.48,70.86,12.51,21.06,23.56,22.73,4.32,16.02,57.99,61.34,56.8,63.14,63.14,61.34
201301031000,36.338,26.69,39.992,29.228,42.764,46.382,33.854,39.236,16.466,40.37,31.928,41.09,18.014,17.168,19.4,27.302,7.502,46.112,11.17,6.15,12.94,60.73,47.48,70.86,12.51,21.06,23.56,22.73,4.32,16.02,57.99,61.34,56.8,63.14,63.14,61.34
201301031100,36.338,26.69,39.992,29.228,42.764,46.382,33.854,39.236,16.466,40.37,31.928,41.09,18.014,17.168,19.4,27.302,7.502,46.112,11.17,6.15,12.94,60.73,47.48,70.86,12.51,21.06,23.56,22.73,4.32,16.02,57.99,61.34,56.8,63.14,63.14,61.34
201301031200,36.338,26.69,39.992,29.228,42.764,46.382,33.854,39.236,16.466,40.37,31.928,41.09,18.014,17.168,19.4,27.302,7.502,46.112,11.17,6.15,12.94,60.73,47.48,70.86,12.51,21.06,23.56,22.73,4.32,16.02,57.99,61.34,56.8,63.14,63.14,61.34
201301031300,35.78,25.934,35.978,28.184,41.324,44.888,32.486,36.032,14.792,39.506,32.702,39.65,20.912,20.066,20.39,28.868,10.148,41.882,9.09,12.88,15.53,67.01,48.6,72.79,15.62,23.14,26.19,25.23,2.05,20.07,56.62,57.6,55.9,61.47,61.47,57.6
201301031400,30.218,28.04,36.77,21.992,36.338,43.538,31.55,38.174,14.216,39.2,32.594,41,19.274,18.932,18.554,28.76,11.336,41.774,12.07,11.39,17.21,62.66,48.48,73.97,18.08,22.73,26.66,26.29,3.28,21.25,58.32,64.4,55.9,61.47,61.47,57.6
201301031500,29.714,30.128,37.544,31.172,42.602,42.188,30.596,40.316,13.64,38.894,33.53,42.35,20.048,17.798,16.718,28.652,12.524,41.648,15.06,15.4,17.58,69.91,48.36,75.94,20.53,24.4,30,26.92,4.51,22.44,60.01,64.4,65.97,61.47,61.47,57.6
201301031600,29.84,29.984,37.256,29.588,45.32,48.848,32.936,45.122,16.898,40.514,34.7,42.548,24.476,21.956,20.804,29.192,14.972,42.44,21.06,15.44,22.64,73.53,47.82,76.53,21.99,26.06,31.17,28.65,4.96,26.08,57.99,62.02,65.48,61.47,61.47,57.6
201301031700,31.568,32,42.548,32.144,52.682,54.86,38.102,49.73,20.336,41.576,35.87,42.548,28.04,24.656,23.342,29.588,17.888,43.664,27.72,15.89,23.65,74.3,47.07,78.94,22.95,26.87,32.22,30.02,5,28,57.99,60.22,56.72,61.47,61.47,57.6
201301031800,33.494,35.24,46.976,35.978,56.768,58.262,41.954,54.104,24.62,41.936,36.95,42.656,30.146,26.924,26.132,31.856,20.624,44.69,30.7,16.99,24.84,74.19,47.44,78.42,24.21,26.55,32.54,31.33,5.74,28.06,57,57.85,65.35,61.47,61.47,57.6
201301031900,35.42,37.472,49.802,38.822,61.394,60.224,45.896,57.56,27.212,43.43,37.868,42.566,32.126,28.904,28.382,33.188,21.38,44.168,30.74,17.28,25.68,73.63,48.13,78.71,24.42,26.13,32.88,33.1,3.79,28.24,57,56.62,59.02,58.93,58.93,51.51
201301032000,37.544,39.128,51.476,42.188,62.78,61.412,47.588,59.144,29.714,43.772,38.336,42.764,32.126,29.912,29.21,34.178,21.992,44.312,31.1,17.73,26.28,72.7,47.86,78.3,25.12,26.26,33.01,33.44,3.69,27.28,55.99,55.4,57.56,58.93,58.93,51.51
201301032100,39.128,40.316,52.592,43.574,63.572,62.168,47.696,60.17,31.136,44.456,38.75,42.674,33.026,31.172,29.39,33.53,23.036,43.124,30.11,17.92,26.13,66.38,47.46,77.92,24.51,25.23,31.14,32.02,1.4,25.65,55,53.6,54.05,58.93,58.93,51.51
201301032200,39.434,40.442,53.258,44.888,64.58,62.546,48.65,61.358,32.324,45.392,39.47,42.296,31.964,30.956,28.184,33.152,21.488,41.882,30.76,17.62,26.13,64.69,46.94,76.3,22.95,23.18,29.44,30.85,-2.2,23.56,55,53.6,46.4,58.93,58.93,51.51
201301032300,39.704,37.778,53.906,44.33,61.952,60.764,48.776,60.818,29.93,44.546,38.534,42.008,31.082,28.814,25.718,32.18,20.876,40.604,28.58,17.62,26.6,64.67,46.42,72.72,21.56,22.01,28.53,29.32,1.55,22.08,53.01,53.6,49.64,58.93,58.93,51.51
201301040000,37.022,36.896,53.024,41.252,61.376,58.514,49.406,58.928,28.166,44.096,36.68,42.35,29.426,26.546,24.026,30.902,18.608,40.046,23.38,18,25.97,62.87,45.61,72.73,20.35,20.84,27.09,29.77,-4,20.05,55,51.8,52.88,58.93,58.93,51.51
201301040100,35.798,35.15,50.414,39.632,58.154,55.796,45.86,54.086,24.242,43.16,35.69,42.242,28.13,24.458,22.496,30.218,17.294,39.686,21.34,18.18,25.72,62.28,45.36,71.58,19.76,20.61,25.93,28.87,-5.8,18.91,53.01,50,48.2,58.93,58.93,51.51
201301040200,33.818,34.7,47.426,36.608,54.968,53.114,42.17,51.224,23.99,42.26,33.998,42.296,26.384,23.792,21.902,30.002,17.654,39.038,20.07,18.63,24.24,62.15,45.36,71.37,19.44,20.43,25.59,28.62,-7.6,17.28,52,48.2,50.9,58.93,58.93,51.51
201301040300,34.106,34.538,45.68,35.834,52.736,49.226,41.198,48.632,17.87,40.838,32.702,42.17,26.69,24.332,21.56,28.292,14.954,38.732,16.79,19.29,24.37,61.93,44.96,71.22,18.37,20.43,25.83,28.08,-9.4,15.12,52,51.22,53.6,58.93,58.93,51.51
201301040400,33.17,34.448,42.71,35.33,50.072,47.84,42.98,46.418,17.51,41.198,32.234,42.17,26.78,22.838,21.11,28.094,14.882,38.732,16.27,19.87,24.37,61.43,44.82,70.65,17.65,20.43,25.83,27.82,-4.85,13.33,50,51.22,49.28,58.93,58.93,51.51
201301040500,32.576,32.81,42.044,34.25,49.226,46.346,39.992,46.004,13.64,40.37,30.992,41.954,27.302,21.2,21.38,27.536,14,38.768,16.41,20.53,24.03,61.23,44.17,70.74,16.23,19.94,25.65,27.72,-4.85,11.62,54,52.45,51.44,58.93,58.93,51.51
201301040600,32.036,32.216,40.406,33.89,48.02,45.068,39.794,45.734,16.538,39.848,30.398,41.936,27.554,20.336,23,26.474,12.974,38.678,16.07,19.74,23.77,59.97,43.11,69.82,15.19,19.38,25.77,27.28,-4.85,10.06,64.99,57.85,53.6,58.93,58.93,51.51
201301040700,31.1,31.424,39.254,34.07,47.084,43.934,38.12,45.392,15.242,38.534,30.758,41.036,27.122,20.246,23.54,26.474,13.37,38.678,17.69,19,22.84,59.27,42.96,69.01,14.77,18.66,26.13,27.03,-11.2,8.8,66.99,62.02,57.2,63.48,63.48,63.18
201301040800,31.064,30.254,39.74,32.36,45.428,42.638,37.706,42.116,16.538,39.146,30.866,40.64,25.34,20.372,24.638,25.484,12.92,38.516,17.38,18.27,21.49,58.35,42.82,68.59,15.64,18.9,25.9,26.55,-11.2,7.93,77,65.62,58.1,63.48,63.48,63.18
201301040900,30.92,30.002,38.354,31.784,44.996,42.404,37.418,44.024,15.512,38.48,30.902,40.532,25.754,24.422,25.07,25.646,12.056,38.354,16.72,17.06,20.41,57.88,42.13,67.35,12.31,17.42,24.22,25.83,-11.2,6.62,75,66.13,59,63.48,63.48,63.18
201301041000,29.03,30.11,36.842,31.298,44.042,42.386,37.094,45.464,15.512,38.3,30.506,39.992,25.268,23.954,26.258,25.646,13.19,38.354,15.73,16.41,19,57.76,41.65,67.33,11.98,17.01,23.63,25.27,-13,5.11,75.99,66.7,61.34,63.48,63.48,63.18
201301041100,30.182,30.488,35.564,30.272,42.674,39.848,34.682,45.05,16.142,38.156,30.146,39.074,27.068,23.612,26.582,25.862,13.244,38.156,14.25,14.81,19.51,57.63,41.38,67.55,10.22,18.23,22.82,24.66,-14.8,4.73,75.99,67.35,63.14,63.48,63.48,63.18
201301041200,29.12,29.786,35.798,29.768,41.108,38.984,33.62,43.412,15.314,38.3,29.57,38.786,26.816,21.632,26.978,25.646,12.92,37.22,12.04,13.77,19.13,57.16,41.49,66.9,10.42,17.31,21.56,23.86,-16.6,4.6,73,66.78,71.6,63.48,63.48,63.18
201301041300,29.012,29.426,34.394,29.3,42.188,39.668,33.44,42.962,15.386,38.444,29.912,38.93,24.674,21.434,28.112,25.646,12.398,37.058,11.7,12.76,18.84,57.29,41.49,68.14,9.68,18.03,23.11,23.79,-5.71,5.58,69.01,66.78,69.89,62.44,62.44,59.34
201301041400,29.624,29.894,33.512,28.22,42.422,39.722,32.954,43.088,13.568,39.254,31.046,39.434,25.142,21.938,28.58,25.862,15.62,37.472,12.02,11.57,19.76,58.1,41.36,73,13.73,19.15,26.58,24.6,-13,9.52,64,64.4,67.96,62.44,62.44,59.34
201301041500,29.804,29.624,35.798,27.986,43.448,41.072,32.594,45.554,15.134,39.938,35.582,41.162,28.076,26.024,29.282,30.254,20.102,38.048,14.85,11.75,20.35,59.4,42.03,76.91,19.54,23.38,28.9,27.03,-7.6,13.39,61,63.18,66.04,62.44,62.44,59.34
201301041600,29.732,29.516,37.328,28.76,45.572,45.464,35.384,48.272,19.148,40.514,38.696,43.664,30.11,30.272,29.498,35.06,22.766,39.218,20.17,11.21,21.83,59.97,42.42,78.75,24.46,23.34,30.42,28.29,-1.03,17.04,59,62.6,63.55,62.44,62.44,59.34
201301041700,31.082,31.964,40.568,32.36,53.528,52.574,39.974,52.43,20.588,42.008,43.016,45.716,32.198,33.062,29.372,37.364,26.546,41.18,25.75,11.41,24.37,59.07,43.05,80.56,27.57,25.63,30.9,30.65,-2.2,18.88,57.99,60.8,57.37,62.44,62.44,59.34
201301041800,33.566,34.754,44.87,37.544,60.404,60.278,44.744,55.274,24.71,43.538,46.058,50.108,34.394,35.834,29.138,39.668,31.622,41.972,30.09,12.13,26.44,57.96,43.45,80.69,29.75,27.18,32.9,32.18,3.45,21.45,57.99,59.07,61.16,62.44,62.44,59.34
