Username,Timestamp,Events,Time Spent,Time Helped,TA who helped,Time Helped,Time Waited,Notes
408,20170921,HW2,15,error diagnoses,coconut,9/21/17 12:33,12:33:54,was modulo-ing a string
144,20170921,HW2,60,my rounding function is a little off i was hope to see if you can see if anything is wrong,vanilla,9/21/17 14:07,14:07:47,Logic for homework 2 part 2
251,20170921,HW2,90,Check code for coding standards;,squash,9/21/17 14:16,14:16:43,Reviewed her comments; reminded her to cast part2 answer as int
428,20170921,HW2,90,I  m not sure what equation to use to round up/down an input #,vanilla,9/21/17 14:26,14:26:57,Logic for homework 2 part 2
251,20170921,Concept,90,When I should use comments; ,squash,9/21/17 14:29,14:29:15,Explained to her why developers NEED to comment their code
471,20170921,HW2,90,My program does not run as I expected,squash,9/21/17 14:34,14:34:47,He knew what to do with %; so I guided him towards figuring out the solution
408,20170921,Other,5,I can  t locate putty software; and not sure if i can switch OS to windows ,squash,9/21/17 14:48,14:48:29,Couldn  t find Windows on that certain computer he was on
251,20170921,HW2,90,Can you test my hw programs; ,vanilla,9/21/17 14:50,14:50:34,Making sure programs ran correctly
251,20170921,Concept,90,How do I check if it is an int whole number?,zucchini ,9/21/17 15:10,15:10:21,just needed to run a few tests
246,20170921,HW2,30,Hw2_Part4,zucchini ,9/21/17 15:25,15:25:24,Syntax errors with prints and some int/float confusion
337,20170921,HW2,90,How to get part 2 correct- integer problem ,fiddlehead,9/21/17 15:27,15:27:28,helped understand casting to floats and integers; some logic in if statements
130,20170921,HW2,60,I don  t quite understand the concept of rounding for hw2 part2; i have a program that has two instances of down and only one of them will be initiated; ex; number is 6 and i input down and there are two instance of if x == down and only one will work; also I need help in syntax and argument passing for hw2 part5; thanks,zucchini ,9/21/17 15:30,15:30:30,working on decision structure
520,20170921,Lab3,15,I did not complete my lab during the lab time so I worked on it and completed it;,zucchini ,9/21/17 15:48,15:48:04,Checked discussion lab for extra point back; fixed some small print statements
292,20170921,HW2,15,I�m trying to find a variable to combine with my assignment operator so I won�t have to make a thousand if statements,fiddlehead,9/21/17 15:51,15:51:04,helped understand mod
140,20170921,HW2,30,My program is printing a statement that should not be included with its input and it is printing as a float instead of an integer;,fiddlehead,9/21/17 16:00,16:00:46,talked about part2 general logic
478,20170921,HW2,90,How to have my program round up and round down negative floats,jicama,9/21/17 16:13,16:13:47,talked about part2 general logic
140,20170921,HW2,60,Im having trouble creating a directional berryhway with if/else statements;,jicama,9/21/17 16:24,16:24:40,Helped with understanding how input works
478,20170921,HW2,90,How to have my program round up and round down negative floats,jicama,9/21/17 17:06,17:06:22,Helped with indentation
478,20170921,HW2,90,How to have my program round up and round down negative floats,,,,requested again
193,20170921,HW2,30,I dont understand how to use the comparison operators for hw2,jicama,9/21/17 17:36,17:36:51,Needed help with days of the week homework
193,20170921,HW2,5,I  m confused with my indentation,kale,9/21/17 18:01,18:01:07,syntax and linux commands
429,20170922,HW2,15,I think one of my if statements in one of my programs is not working properly; and I don  t understand why it isn  t working;,berry,9/22/17 10:23,10:23:25,I helped him talk through what the code was doing and he fixed the problem himself;
194,20170922,HW2,30,How to make floats look like integers,berry,9/22/17 10:27,10:27:36,Needed help casting integers;  Also needed help witing pseudocode flow chart
414,20170922,HW2,60,Can not get my program to not act where the input is a whole number,lima,9/22/17 11:07,11:07:42,Hw1 part2 help with integer cases
229,20170922,HW2,30,Part 2 of the homework is not functioning as intended for certain parts;,mango,9/22/17 11:09,11:09:06,I missclicked this column when adding a comment; needed help rounding
504,20170922,HW2,5,begin homework ,mango,9/22/17 11:35,11:35:27,Doing academic integrity quiz to to homework
229,20170922,HW2,30,Hw6 has a problem with days beyond the calendar;,lima,9/22/17 11:38,11:38:11,Hw1 part 6 - dealing with days over 30
414,20170922,HW2,15,I can not get my program to recognize a float,lima,9/22/17 11:45,11:45:19,Dealing with - vs + numbers in hw
504,20170922,HW2,30,The Ta had to leave while assisting me with question 1,zucchini,9/22/17 13:08,13:08:51,Working throught homework 2; missed lecture; told to look through slides first
504,20170922,HW2,5,Understanding how to develop the input ,nectarine,9/22/17 13:36,13:36:12,needed help with if staement
575,20170922,HW2,90,How do I distinguish between an integer and a decimal? Will I need parsing?,nectarine,9/22/17 13:46,13:46:05,done with OH?
130,20170922,HW2,90,Hw2; pt 5; I need help in testing out my code and fixing the errors i have; it  s printing the correct item but it doesn  t stop when an answer it found; ,zucchini,9/22/17 13:49,13:49:56,Drew flow chart together then coded it out
504,20170922,HW2,5,Question with if statement ,olive,9/22/17 14:09,14:09:32,helped with logic for part 1
575,20170922,HW2,90,Is parsing necessary for part 2 of the homework or am I overthinking this?,kale,9/22/17 14:13,14:13:57,rounding numbers
463,20170922,HW2,15,I  m unsure how to round a given float in general; up or down;,kale,9/22/17 14:15,14:15:50,int casting; rounding
414,20170922,HW2,30,I need help simplifying my code,olive,9/22/17 14:16,14:16:23,help with simplifying days of the week
504,20170922,HW2,5,question with comparison ,kale,9/22/17 14:29,14:29:54,long review - linux; conditions; branching
463,20170922,HW2,15,hw2_part2: The solution one of the TAs gave me sort of worked but I casted the input as a float so it will always be recognized as a float and never as an int which won  t allow for an input of 6 to be output as 6;,olive,9/22/17 14:32,0:09:54,casting int() in the wrong place
491,20170922,Lab3,15,When I run my program; it only runs what is in the if statement and not what is in the else statement no watermeloner what input i enter; How can I fix this?,olive,9/22/17 14:38,0:02:24,mixed up and and or
414,20170922,HW2,30,I need help simplifying my code,berry,9/22/17 15:04,15:04:03,understanding how mod works
354,20170922,HW2,60,hw2_part2;py; my program is not identifying variable ,kale,9/22/17 15:08,15:08:03,branching logic for rounding
414,20170922,HW2,30,I need help simplifying my code,,,,requested again
504,20170922,HW2,15,questions about errors,berry,9/22/17 15:21,15:21:30,syntax error
171,20170922,HW2,60,My program doesn  t work,berry,9/22/17 15:23,15:23:58,had a nice plan needed to see where it went wrong 
414,20170922,HW2,15,My code is ignoring my else statement,quince,9/22/17 15:37,15:37:44,confrim if elif else structure
463,20170922,HW2,15,hw2_part3: debugging and weird syntax errors that make NO sense,quince,9/22/17 15:40,15:40:40,missing ) line above syntax error 
407,20170922,Lab3,60,I need my lab checked by my TA; berry; ,berry,9/22/17 15:50,15:50:07,Checked her off
504,20170922,HW2,5,Math on question 2,quince,9/22/17 15:43,15:43:30,needed alg walkthrough for hw (fishing for answers) 
354,20170922,HW2,60,negative numbers on python3,berry,9/22/17 15:45,15:45:20,Had mistyped an input
504,20170922,HW2,5,submit homework,cacao,9/22/17 16:45,16:45:11,walked through submitting
474,20170922,HW2,5,Homework 2; On Part 2; when rounding a negative Integer on the sample output it shows the integer rounding down  which does not make sense since it says rounding up; On part 6 I have a if/elif statement to print the correct day of the is that okay? On part 7 is there supposed to be only one if and one else statement?  ,quince,9/22/17 16:39,16:39:59,condensing if statements 
555,20170925,HW3,15,While loop became an infinite loop,watermelon,9/25/17 10:28,10:28:00,helped with understanding while loop; how and why to update the loop var
276,20170925,Lab3,15,Getting my lab 03 checked for 7 points,watermelon,9/25/17 10:52,10:52:57,checked lab 03 for 7 points; helped with understanding boolean operators and flow logic
555,20170925,HW3,15,Trouble with updating loop,berry,9/25/17 11:11,11:11:01,Wanted to know how to update a variable within a while loop
193,20170925,HW3,60,I dont understand while loops,berry,9/25/17 11:36,11:36:08,Need help understanding thaat the condition keeps checking; and and infinite loop the condition is never false
555,20170925,HW3,15,elif unexpected indentation error,berry,9/25/17 11:42,11:42:48,Needed help with part 1; had the odd and even updates mixed up
112,20170925,HW3,30,main() has error,berry,9/25/17 11:59,11:59:16,Needed help with placemrnt of input statement (not inside the loop!)
361,20170925,HW3,60,I dont know what to do next; im stuck,coconut,9/25/17 14:23,14:23:20,was trying to use mod as height
549,20170925,HW3,30,infinite loop hw3_part1;py,coconut,9/25/17 14:37,14:37:14,very sneaky; was using two ifs-- not exclusive
586,20170925,HW3,15,I have trouble understanding how the program calculates the answer in HW3 part4;,coconut,9/25/17 14:44,14:44:56,was struggling with mod
555,20170925,HW3,15,Trouble with print statement,coconut,9/25/17 14:59,14:59:51,needed help not printing height
549,20170925,HW3,30,hw3_part3;py am or pm is stuck in a loop,mango,9/25/17 15:00,15:00:09,needed an and instead of an or
361,20170925,HW3,60,I dont know what to do next im stuck,mango,9/25/17 15:04,15:04:36,Forgot to have a print and chang an or to and and
555,20170925,HW3,15,print statement does not print properly,mango,9/25/17 15:12,15:12:13,question about printing repetition
586,20170925,HW3,15,One of my program for Homework 3 seems to be having a problem;,mango,9/25/17 15:17,15:17:01,Help with exponent algorithm
549,20170925,HW3,15,hw3_part4;py,mango,9/25/17 15:33,15:33:19,Help with printing the triangle
319,20170925,HW3,30,HW part 7: Getting the triangle to work,mango,9/25/17 15:33,15:33:19,helped with jay
361,20170925,HW3,60,Confused on last line of code,mango,9/25/17 15:55,15:55:10,student left
555,20170925,HW3,15,help with while loop statement and logic,mango,9/25/17 15:55,15:55:31,student left
586,20170925,HW3,15,I still am having problems with the assignment;,mango,9/25/17 15:55,15:55:47,student left
340,20170925,HW3,15,My program is on an infinite loop but doesn  t print anything,mango,9/25/17 15:56,15:56:08,needed to change an or to an and
319,20170925,HW3,60,hw 3 part 7,daikon,9/25/17 16:04,16:04:44,help with second counter - triangle is going backwards
224,20170925,HW3,30,Problem with part 3   time period    loop,daikon,9/25/17 16:33,16:33:57,needed an and instead of an or
340,20170925,HW3,5,Whether I should use float or int,daikon,9/25/17 16:40,16:40:35,i told him to use a float
535,20170925,HW3,15,My program doesn  t run when I  m trying to run Part 1 of the homework,radish,9/25/17 17:05,17:05:32,Needed help updating while loop
535,20170925,HW3,15,I need help with implementing an idea into code in Part 2,radish,9/25/17 17:39,17:39:56,Needed help with while loop updates
535,20170925,HW3,15,The program is now giving the wrong answers for the expressions in Part 2,radish,9/25/17 17:59,17:59:56,While loop updates
361,20170926,HW3,60,trouble with while loop,iceberg lettuce,9/26/17 10:00,10:00:18,While loop was always true if the user entered correct input
235,20170926,HW3,60,For problem 6 of Homework 3; my program is printing out the numbers needed; but not in a box of correct dimensions; I reviewed the logic I wrote in my program; and I am unsure how to organize the numbers into a box;,iceberg lettuce,9/26/17 10:04,10:04:43,Printing a new line based off of the width
361,20170926,HW3,60,while loop problem,iceberg lettuce,9/26/17 10:13,10:13:05,Help with conditional; mixed up < and  >
510,20170926,HW3,5,My program works but there is a sentence being repeated (using while loops),iceberg lettuce,9/26/17 10:32,10:32:02,Help with while loop conditionals
235,20170926,HW3,60,Question about organizing code for problem 6 and boolean logic,iceberg lettuce,9/26/17 10:37,10:37:19,Fixed probelm on their own
283,20170926,Other,5,I accidentally named my program hw3_partl;py; not hw3_part1;py and now I have an empty file called hw3_part1;py that is not my homework; I am unsure if changing the file name will delete my howework; ,iceberg lettuce,9/26/17 10:41,10:41:32,Renaming file
555,20170926,HW3,30,trouble with while loop statement,iceberg lettuce,9/26/17 10:43,10:43:54,Not updating variable inside while loop
361,20170926,HW3,30,Doesn  t understand the homework problem,iceberg lettuce,9/26/17 10:47,10:47:47,Help explain the hw assignment
555,20170926,HW3,15,while loop not running properly,iceberg lettuce,9/26/17 11:01,11:01:04,Used nested whiles 
264,20170926,Lab4,60,How to find the min and max of numbers in a while loop,eggplant,9/26/17 11:51,11:51:55,Wanted to understand how to properly do the min/max on lab 4
362,20170926,HW3,5,touch and mdkir,eggplant,9/26/17 12:24,12:24:34,Wanted to know the difference between touch and mkdir
355,20170926,Lab4,5,Need program approved for extra point on lab,eggplant,9/26/17 12:29,12:29:31,Wanted to show me lab to get extra point back
219,20170926,Lab4,60,Had trouble setting up a while loop to accept multiple inputs; Lab not finished in time,eggplant,9/26/17 12:46,12:46:19,Helping him resolve the while loop issue and checked off his lab
362,20170926,HW3,5,Looping,squash,9/26/17 13:16,13:16:47,His variables never actually changed; so he had an infinite loop
242,20170926,HW3,90,My program is printing the incorrect berrytern from a loop;,squash,9/26/17 13:45,13:45:30,I think he just wanted me to watch his thought process;;;
427,20170926,HW3,90,HW 3; Part 7 -  I don  t know what condition to include in the while loop,squash,9/26/17 13:58,13:58:06,I suggested anested while loop but I  m not sure if they were taught that;;;
362,20170926,HW3,15,debug hw3 part1,,,,office hours over
549,20170926,HW3,30,hw3_part2;py general construction and concept,tomatillo,9/26/17 14:29,14:29:24,Help understanding how to conceptually understand part 2
522,20170926,HW3,30,I am not sure how to create the right triangle using the user input on part 7 of the homework,tomatillo,9/26/17 14:34,14:34:41,Help with while loops 
503,20170926,HW3,90,Structure ,tomatillo,9/26/17 14:51,14:51:58,Help understaning the structure of his if else 
112,20170926,HW3,30,can i put while statement under else:,tomatillo ,9/26/17 14:52,14:52:20,how to use a count for part 2 since secNum was chaning 
549,20170926,HW3,15,hw3_part2;py creating a variable for the exponet,mango,9/26/17 14:57,14:57:58,How to use the answer variable in the exponent algorithm
362,20170926,HW3,90,need help with looping,tomatillo ,9/26/17 15:07,15:07:51,How to print the inital height of the hail 
549,20170926,HW3,15,hw3_part2;py won  t print out my resolute,mango,9/26/17 15:10,15:10:53,Help with question 5 ordering the if elif else block
292,20170926,HW3,15,I don  t understand how while loops work or how to format them,tomatillo ,9/26/17 15:32,15:32:48,Wanted to understand why use while loops 
503,20170926,HW3,30,Structure again,mango,9/26/17 15:49,15:49:51,Question about how to structure the while loop for the minutes of part3
112,20170926,HW3,15,thought process hw3 part3,tomatillo ,9/26/17 15:51,15:51:13,Finished awhile ago (wanted to know if she could use input to a var twice
362,20170926,HW3,5,operator use,mango,9/26/17 15:55,15:55:56,Question about part2 exponents
503,20170926,HW3,60,hw3,tomatillo ,9/26/17 16:05,16:05:00,Question about updating a value inside the while loop 
174,20170926,Lab4,15,want to show completed lab 4 for points back,pepper,9/26/17 16:16,16:16:22,Needed points back for lab (my student)
362,20170926,HW3,15,output fixe,tomatillo ,9/26/17 16:21,16:21:18,indenting error; then confused as to why his logic worked 
