Email Address,Timestamp,What do you need help with today?,What is the exact question you would like answered?,How long have you yourself already spent working on this problem or question?,,TA who helped,Time Helped,Time Waited,Notes
504,9/15/17 13:12,HW/Project,question in reference to question 2,< 5 minutes,,nectarine,9/15/17 13:16,13:16:01,fire drill
224,9/15/17 13:13,HW/Project,Checking for homework completion,< 5 minutes,,nectarine,9/15/17 13:36,13:36:34,needed help with lab
524,9/15/17 13:20,HW/Project,Homework 1 Part 3 Store variable name from input(),31 - 60 minutes,,nectarine,9/15/17 13:47,13:47:04,student left
504,9/15/17 13:49,HW/Project,Question in reference to question 3 ,< 5 minutes,,nectarine,9/15/17 13:51,13:51:50,forgot header comments
491,9/15/17 14:02,Lab,Can you check my pre lab 2 for grading (My Ta is nectarine),16 - 30 minutes,,kale,9/15/17 14:04,14:04:58,nevermind
504,9/15/17 14:23,HW/Project,Question 3,< 5 minutes,,olive,9/15/17 14:25,14:25:10,working on part 4
504,9/15/17 15:23,HW/Project,homework question 4,< 5 minutes,,berry,9/15/17 15:23,15:23:43,Had a syntax error that was on the line above
504,9/15/17 15:54,HW/Project,question 5,6 - 15 minutes,,berry,9/15/17 15:54,15:54:55,had trouble understanding how to print using strings and variable names
504,9/15/17 16:16,HW/Project,question 5,< 5 minutes,,pepper,9/15/17 16:31,16:31:09,Part 5 wasn  t running; didn  t realize they weren  t running the program
504,9/15/17 16:31,HW/Project,question 6,< 5 minutes,,quince,9/15/17 16:32,16:32:42,needed logical walkthrough of how to calc tip; tax; & cost
504,9/15/17 16:49,HW/Project,question 6,< 5 minutes,,pepper,9/15/17 16:50,16:50:04,logic error; wasn  t dividing percents by 100
555,9/18/17 11:13,HW/Project,"My program outputs None"" when that is not the response I program""",16 - 30 minutes,,berry,9/18/17 11:14,11:14:05,Wanted help with multiple comnparison statement syntax and using if - elif - else 
555,9/18/17 11:34,HW/Project,"Program outputs None"" when asking user for response""",< 5 minutes,,berry,9/18/17 11:34,11:34:55,Helped him with input synax
362,9/18/17 13:07,if and elif application with string variable,I did a project in order to review ; but i could not figure out how to mw]ake it work with string;,16 - 30 minutes,,berry,9/18/17 13:11,13:11:40,not here
246,9/18/17 14:14,HW/Project,Hw1_part2,31 - 60 minutes,,coconut,9/18/17 14:17,14:17:45,rounding algorithm help
362,9/18/17 14:29,use of string in conditional statement,help debugging my program about if / elif statement,16 - 30 minutes,,coconut,9/18/17 14:33,14:33:40,didn  t quite understand if\elif\else structure
246,9/18/17 14:35,HW/Project,hw2 negative numbers part 2,6 - 15 minutes,,coconut,9/18/17 14:43,14:43:40,whole number checking statement
362,9/18/17 14:53,romoving unwanted folder in the directory,need to delete unwanted folder in the directory,16 - 30 minutes,,coconut,9/18/17 14:58,14:58:24,needed help removing things
516,9/18/17 14:57,HW/Project,My if statements are not working properly and I am not sure why;,6 - 15 minutes,,mango,9/18/17 15:02,15:02:19,help with if elif else
516,9/18/17 15:02,HW/Project,My main in my python program is not working;,< 5 minutes,,,,,requested again
340,9/18/17 15:06,HW/Project,A syntax error and simplifying my code,16 - 30 minutes,,mango,9/18/17 15:09,15:09:41,forgot a parenthesis
362,9/18/17 15:28,quick question,do we indent after the main method?,< 5 minutes,,mango,9/18/17 15:29,15:29:35,Questions about indentation
340,9/18/17 15:33,HW/Project,My program is stopping before it goes through the rest of the code,< 5 minutes,,mango,9/18/17 15:34,15:34:04,accidental capitalization
516,9/18/17 15:34,HW/Project,Python gl error,< 5 minutes,,mango,9/18/17 15:35,15:35:30,Got stuck in a weird directory
340,9/18/17 15:46,shortcut,Is there a way to find out the number of characters in a line without counting each individual character?,< 5 minutes,,mango,9/18/17 15:46,15:46:47,Quick question about coding standards and # of characters per line
362,9/18/17 16:01,HW/Project,how do we use of and && in python,6 - 15 minutes,,daikon,9/18/17 16:03,16:03:01,needs to use and
362,9/18/17 16:18,HW/Project,question about using main function,6 - 15 minutes,,daikon,9/18/17 16:19,16:19:56,asks if all homework parts need to use main
362,9/18/17 16:54,HW/Project,how to used string and if cond,6 - 15 minutes,,daikon,9/18/17 16:54,16:54:36,missing input
362,9/18/17 17:05,HW/Project,need help ouputing my data using round method,16 - 30 minutes,,radish,9/18/17 17:06,17:06:43,if statement syntax
311,9/18/17 17:20,HW/Project,Help with nested if statements;,16 - 30 minutes,,radish,9/18/17 17:21,17:21:32,Improper if-else nesting
208,9/18/17 17:21,HW/Project,i used a structure not cover in class that works can i use it or should i use something else,< 5 minutes,,radish,9/18/17 17:32,17:32:13,Just making sure he was doing it correctly
112,9/18/17 17:32,HW/Project,Changing numbers into integers on hw2part2,31 - 60 minutes,,radish,9/18/17 18:53,18:53:19,Changing variable colors
555,9/18/17 17:50,HW/Project,Logical error on hw2 part4; want to skip lines in print(),6 - 15 minutes,,radish,9/18/17 18:00,18:00:40,Needed to use \n for a string
362,9/18/17 17:55,HW/Project,if statemnet used,6 - 15 minutes,,radish,9/18/17 18:05,18:05:47,Needed help with homework logic
283,9/19/17 10:55,GL command,How does ls -l work? I can not see my homework bit sizes;,< 5 minutes,,iceberg lettuce,9/19/17 10:56,10:56:07,How to view size of file
500,9/19/17 11:04,Concept,Coding standards wise; how do I split up a line in order to make it more readable; especially when it comes to long strings and print statements;,< 5 minutes,,eggplant,9/19/17 11:05,11:05:16,Wanted help confirming how to properly split lines to maintain 80 characters;
242,9/19/17 11:11,HW/Project,My programming logic is not calculating the correct day in a calendar program;,> 60 minutes,,eggplant,9/19/17 11:13,11:13:23,Program was not producing the input he wanted and was looking for some guidance
427,9/19/17 11:22,HW/Project,I want to make sure my logic behind part 3 of HW2 will work for multiple sets of numbers and my code for part 6 only returns one response; ,16 - 30 minutes,,eggplant,9/19/17 11:23,11:23:07,Forgot to incorporate user input into the math she was using
219,9/19/17 12:50,Lab,My program wasn  t giving the right out put; Even if it met the If condition it would usually decide else and give the second output; Couldnt finish in time to turn in,31 - 60 minutes,,eggplant,9/19/17 12:51,12:51:33,Came to make sure his lab 3 was correct
358,9/19/17 12:51,HW/Project,I am having trouble figuring out a command that will round up for a given number; ,6 - 15 minutes,,eggplant,9/19/17 12:54,12:54:12,Wanted to check what commands are allowed to use
116,9/19/17 12:56,HW/Project,How to quickly enter the header comments (probably multi-line copy-paste); And how to properly use a backslash for  long lines of code; ,6 - 15 minutes,,eggplant,9/19/17 12:57,12:57:05,Wanted to confirm the proper use of the backslash in python code
426,9/19/17 12:57,HW/Project,When I type in a neg float in my program it rounds up and down to the same integer; How do i fix this? Also; another program states an invalid date within my program;,16 - 30 minutes,,squash,9/19/17 13:00,13:00:35,Asked for help with decision structures to approach negative floats;
358,9/19/17 13:16,HW/Project,I am having trouble figuring the conditions to my program in using if;elif; and else;,6 - 15 minutes,,squash,9/19/17 13:16,13:16:42,Needed help fixing her decision instructures -- the ordering clashed with each other;
117,9/19/17 13:56,HW/Project,Decision statements ,31 - 60 minutes,,squash,9/19/17 13:58,13:58:12,Explained to them why their if statement was still printing -- singular variable always evaluated to True
117,9/19/17 14:32,HW/Project,I am stuck ,31 - 60 minutes,,tomatillo,9/19/17 14:33,14:33:12,Trouble understanding comparison operators
112,9/19/17 15:21,HW/Project,hw2_part2 how to get the originalNum to print out,16 - 30 minutes,,tomatillo,9/19/17 15:21,15:21:49,Hw2 Rounding; handling rounding for negative numbers 
112,9/19/17 15:37,HW/Project,error in my print,6 - 15 minutes,,mango,9/19/17 15:37,15:37:24,Question about rounding for negative numbers; special cases
555,9/19/17 16:35,HW/Project,I am having a difficult time trying to figure out how to round a number up,16 - 30 minutes,,ugli fruit,9/19/17 16:40,16:40:25,Needed help ironing out bugs in rounding up for HW2
112,9/19/17 16:39,HW/Project,can i put an if statement under else,6 - 15 minutes,,pepper,9/19/17 16:39,16:39:51,hw2_part7; wanted verification they didn  t need another if statement
112,9/19/17 16:46,HW/Project,help part 2 how to get the decimals rounded,31 - 60 minutes,,pepper,9/19/17 16:47,16:47:27,Program was rounding numbers already entered as ints
555,9/19/17 17:25,HW/Project,Syntax error with if statement and guidance with starting day of the week calculator,6 - 15 minutes,,ugli fruit,9/19/17 17:30,17:30:12,Needed help fixing syntax error (forgot to close parentheses); helped student think through beginning the day of the week problem
174,9/20/17 9:59,HW/Project,Make sure my part2 and part5 follow the instructions,16 - 30 minutes,,fiddlehead,9/20/17 9:59,9:59:22,Helped him understand casting floats to integers for truncating
362,9/20/17 10:07,HW/Project,need jelp with if statement and hw2_part5,31 - 60 minutes,,watermelon,9/20/17 10:07,10:07:40,wanted help figuring out math for part2; and assisted with indentation in if statements; help with logic for part5
174,9/20/17 10:28,HW/Project,hw2_part5,16 - 30 minutes,,fiddlehead,9/20/17 10:32,10:32:49,Just wanted part 5 checked
200,9/20/17 11:18,HW/Project,I am having trouble with my decision structure in my program;,31 - 60 minutes,,quince,9/20/17 11:18,11:18:21,help with explaining hint on integrer div
555,9/20/17 11:27,HW/Project,Else statement runs with if statement,6 - 15 minutes,,quince,9/20/17 11:28,11:28:21,elif and else explained
354,9/20/17 11:44,HW/Project,I don  t understand multi-way decisions ,6 - 15 minutes,,quince,9/20/17 11:45,11:45:02,not here
516,9/20/17 13:41,HW/Project,Need help with understanding mod and also putty issue,6 - 15 minutes,,nectarine,9/20/17 13:43,13:43:16,wanted help with mod
503,9/20/17 13:44,HW/Project,hw2,> 60 minutes,,grape,9/20/17 13:47,13:47:18,Didn  t know how if statements work
362,9/20/17 14:04,HW/Project,else stat; output hw_2,16 - 30 minutes,,horseradish,9/20/17 14:06,14:06:00,Couldn  t figure out how to tell if input was an int;
355,9/20/17 14:29,HW/Project,I don  t understand nesting; And I am having trouble with floats and integers in my code;,16 - 30 minutes,,horseradish,9/20/17 14:42,14:42:51,Didn  t understand nesting;  Couldn  t detect an integer;
578,9/20/17 14:30,HW/Project,COnfirmation of code,< 5 minutes,,vanilla,9/20/17 14:31,14:31:53,Checking code for homework 2
362,9/20/17 14:31,HW/Project,imput validation with int/ fload,< 5 minutes,,vanilla,9/20/17 14:45,14:45:18,Homework 2 logic
516,9/20/17 14:36,HW/Project,Rounding error i don  t understand,6 - 15 minutes,,horseradish,9/20/17 14:37,14:37:27,Rounding of negative number has to handled differently from positive number;
555,9/20/17 14:46,HW/Project,Having trouble with print after if statement,6 - 15 minutes,,horseradish,9/20/17 14:55,14:55:37,Syntax error (elif without a condition)
503,9/20/17 15:03,HW/Project,int; float,16 - 30 minutes,,horseradish,9/20/17 15:03,15:03:51,Converted input to float instead of int;
190,9/20/17 15:08,HW/Project,I don  t know if my code is right and or redundant for hw2_part2;,> 60 minutes,,horseradish,9/20/17 15:10,15:10:52,Worried about programming style;
362,9/20/17 15:11,HW/Project,casting to string,< 5 minutes,,horseradish,9/20/17 15:20,15:20:35,Major problem with if-elif-else logic;
171,9/20/17 15:27,HW/Project,Im not sure how to approach this problem,6 - 15 minutes,,horseradish,9/20/17 15:37,15:37:35,Needed a little help with output;
190,9/20/17 15:37,HW/Project,My code was working and now it  s now and I can  t find my error; ,6 - 15 minutes,,horseradish,9/20/17 15:42,15:42:30,Python 3 was not enabled;
503,9/20/17 15:58,HW/Project,stucture,6 - 15 minutes,,horseradish,9/20/17 15:58,15:58:59,Logic question;
362,9/20/17 16:09,HW/Project,logical error,< 5 minutes,,olive,9/20/17 16:09,16:09:56,accidentally printing a tuple
503,9/20/17 16:38,HW/Project,sequence,31 - 60 minutes,,yam,9/20/17 16:38,16:38:26,questions about nesting if statements
362,9/20/17 16:39,HW/Project,have question on the operator to use for hw2 part6,< 5 minutes,,olive,9/20/17 16:41,16:41:16,Starting part 6; understanding mod
535,9/20/17 16:44,HW/Project,I need help handling the negative numbers in part 2 of the homework,31 - 60 minutes,,olive,9/20/17 16:45,16:45:40,help with spitting cases in part 2
535,9/20/17 17:03,HW/Project,I still need help handling the negative numbers in part 2 of the homework,16 - 30 minutes,,yam,9/20/17 17:05,17:05:49,using two ifs instead of elif or else
362,9/20/17 17:12,HW/Project,help debugging my output in hw2_part6,< 5 minutes,,yam,9/20/17 17:12,17:12:48,should  ve used or; not and
311,9/20/17 17:17,HW/Project,If statement with a whole integer;,16 - 30 minutes,,radish,9/20/17 17:20,17:20:29,If loops
535,9/20/17 17:29,HW/Project,I  m having trouble with coming up with what days equal which day of the week in Part 5,6 - 15 minutes,,yam,9/20/17 17:29,17:29:31,wrong order of vars in part 6
362,9/20/17 17:32,study habit,what are the tool i can use to prepare for exams such as website practice question or other please;,< 5 minutes,,yam,9/20/17 17:35,17:35:03,Just wanted some advice on how he should practice for this class
412,9/20/17 17:34,HW/Project, I am not sure how to round a number without using the round command;,6 - 15 minutes,,yam,9/20/17 17:40,17:40:44,how to approach part 2
535,9/20/17 17:48,HW/Project,Need help handling day 31 in Part 5,6 - 15 minutes,,yam,9/20/17 17:49,17:49:03,misunderstanding of mod results
412,9/20/17 17:56,HW/Project,I  m not sure how to create an if statement for a number being represented as a whole number,< 5 minutes,,radish,9/20/17 17:57,17:57:13,Finding if float is a whole num
408,9/21/17 11:18,Concept,how to copy things from outside emacs; also the significance of def main () comand,< 5 minutes,,daikon,9/21/17 11:18,11:18:52,wanted to know how to copy things
376,9/21/17 11:21,HW/Project,I was wondering if certain things that I am putting into my programs are appropriate for the assignment;,< 5 minutes,,daikon,9/21/17 11:22,11:22:58,just wanted to check on a few assignment clarifications
225,9/21/17 11:27,HW/Project,There is a word in the program that I don  t want displayed,6 - 15 minutes,,daikon,9/21/17 11:29,11:29:15,"input(print(string"")) prints out none"""
414,9/21/17 11:58,HW/Project,I have a syntax error that I can not figure out how to fix,31 - 60 minutes,,daikon,9/21/17 11:59,11:59:16,missing a paretnthesis
362,9/21/17 12:02,HW/Project,comment; DO we need to comment line by line?,< 5 minutes,,coconut,9/21/17 12:05,12:05:53,answered from bench
414,9/21/17 12:18,HW/Project,I can not figure out how to get my program to round the users input,16 - 30 minutes,,coconut,9/21/17 12:29,12:29:54,needed to see it in writing
408,9/21/17 12:25,HW/Project,error diagnoses,6 - 15 minutes,,coconut,9/21/17 12:33,12:33:54,was modulo-ing a string
144,9/21/17 14:07,HW/Project,my rounding function is a little off i was hope to see if you can see if anything is wrong,31 - 60 minutes,,vanilla,9/21/17 14:07,14:07:47,Logic for homework 2 part 2
251,9/21/17 14:16,HW/Project,Check code for coding standards;,> 60 minutes,,squash,9/21/17 14:16,14:16:43,Reviewed her comments; reminded her to cast part2 answer as int
428,9/21/17 14:26,HW/Project,I  m not sure what equation to use to round up/down an input #,> 60 minutes,,vanilla,9/21/17 14:26,14:26:57,Logic for homework 2 part 2
251,9/21/17 14:28,Concept,When I should use comments; ,> 60 minutes,,squash,9/21/17 14:29,14:29:15,Explained to her why developers NEED to comment their code
471,9/21/17 14:34,HW/Project,My program does not run as I expected,> 60 minutes,,squash,9/21/17 14:34,14:34:47,He knew what to do with %; so I guided him towards figuring out the solution
408,9/21/17 14:41,can  t locate putty / strange operating system,I can  t locate putty software; and not sure if i can switch OS to windows ,< 5 minutes,,squash,9/21/17 14:48,14:48:29,Couldn  t find Windows on that certain computer he was on
251,9/21/17 14:47,HW/Project,Can you test my hw programs; ,> 60 minutes,,vanilla,9/21/17 14:50,14:50:34,Making sure programs ran correctly
251,9/21/17 15:02,Concept,How do I check if it is an int whole number?,> 60 minutes,,zucchini ,9/21/17 15:10,15:10:21,just needed to run a few tests
246,9/21/17 15:02,HW/Project,Hw2_Part4,16 - 30 minutes,,zucchini ,9/21/17 15:25,15:25:24,Syntax errors with prints and some int/float confusion
337,9/21/17 15:14,HW/Project,How to get part 2 correct- integer problem ,> 60 minutes,,fiddlehead,9/21/17 15:27,15:27:28,helped understand casting to floats and integers; some logic in if statements
130,9/21/17 15:24,HW/Project,I don  t quite understand the concept of rounding for hw2 part2; i have a program that has two instances of down and only one of them will be initiated; ex; number is 6 and i input down and there are two instance of if x == down and only one will work; also I need help in syntax and argument passing for hw2 part5; thanks,31 - 60 minutes,,zucchini ,9/21/17 15:30,15:30:30,working on decision structure
520,9/21/17 15:30,Lab,I did not complete my lab during the lab time so I worked on it and completed it;,6 - 15 minutes,,zucchini ,9/21/17 15:48,15:48:04,Checked discussion lab for extra point back; fixed some small print statements
292,9/21/17 15:31,HW/Project,I̍m trying to find a variable to combine with my assignment operator so I won̍t have to make a thousand if statements,6 - 15 minutes,,fiddlehead,9/21/17 15:51,15:51:04,helped understand mod
140,9/21/17 15:50,HW/Project,My program is printing a statement that should not be included with its input and it is printing as a float instead of an integer;,16 - 30 minutes,,fiddlehead,9/21/17 16:00,16:00:46,talked about part2 general logic
478,9/21/17 15:53,HW/Project,How to have my program round up and round down negative floats,> 60 minutes,,jicama,9/21/17 16:13,16:13:47,talked about part2 general logic
140,9/21/17 16:19,HW/Project,Im having trouble creating a directional berryhway with if/else statements;,31 - 60 minutes,,jicama,9/21/17 16:24,16:24:40,Helped with understanding how input works
478,9/21/17 17:06,HW/Project,How to have my program round up and round down negative floats,> 60 minutes,,jicama,9/21/17 17:06,17:06:22,Helped with indentation
478,9/21/17 17:06,HW/Project,How to have my program round up and round down negative floats,> 60 minutes,,,,,requested again
193,9/21/17 17:36,HW/Project,I dont understand how to use the comparison operators for hw2,16 - 30 minutes,,jicama,9/21/17 17:36,17:36:51,Needed help with days of the week homework
193,9/21/17 18:00,HW/Project,I  m confused with my indentation,< 5 minutes,,kale,9/21/17 18:01,18:01:07,syntax and linux commands
429,9/22/17 10:22,HW/Project,I think one of my if statements in one of my programs is not working properly; and I don  t understand why it isn  t working;,6 - 15 minutes,,berry,9/22/17 10:23,10:23:25,I helped him talk through what the code was doing and he fixed the problem himself;
194,9/22/17 10:27,HW/Project,How to make floats look like integers,16 - 30 minutes,,berry,9/22/17 10:27,10:27:36,Needed help casting integers;  Also needed help witing pseudocode flow chart
414,9/22/17 11:07,HW/Project,Can not get my program to not act where the input is a whole number,31 - 60 minutes,,lima,9/22/17 11:07,11:07:42,Hw1 part2 help with integer cases
229,9/22/17 11:08,HW/Project,Part 2 of the homework is not functioning as intended for certain parts;,16 - 30 minutes,,mango,9/22/17 11:09,11:09:06,I missclicked this column when adding a comment; needed help rounding
504,9/22/17 11:35,HW/Project,begin homework ,< 5 minutes,,mango,9/22/17 11:35,11:35:27,Doing academic integrity quiz to to homework
229,9/22/17 11:38,HW/Project,Hw6 has a problem with days beyond the calendar;,16 - 30 minutes,,lima,9/22/17 11:38,11:38:11,Hw1 part 6 - dealing with days over 30
414,9/22/17 11:45,HW/Project,I can not get my program to recognize a float,6 - 15 minutes,,lima,9/22/17 11:45,11:45:19,Dealing with - vs + numbers in hw
504,9/22/17 13:07,HW/Project,The Ta had to leave while assisting me with question 1,16 - 30 minutes,,zucchini,9/22/17 13:08,13:08:51,Working throught homework 2; missed lecture; told to look through slides first
504,9/22/17 13:31,HW/Project,Understanding how to develop the input ,< 5 minutes,,nectarine,9/22/17 13:36,13:36:12,needed help with if staement
575,9/22/17 13:34,HW/Project,How do I distinguish between an integer and a decimal? Will I need parsing?,> 60 minutes,,nectarine,9/22/17 13:46,13:46:05,done with OH?
130,9/22/17 13:35,HW/Project,Hw2; pt 5; I need help in testing out my code and fixing the errors i have; it  s printing the correct item but it doesn  t stop when an answer it found; ,> 60 minutes,,zucchini,9/22/17 13:49,13:49:56,Drew flow chart together then coded it out
504,9/22/17 13:50,HW/Project,Question with if statement ,< 5 minutes,,olive,9/22/17 14:09,14:09:32,helped with logic for part 1
575,9/22/17 14:07,HW/Project,Is parsing necessary for part 2 of the homework or am I overthinking this?,> 60 minutes,,kale,9/22/17 14:13,14:13:57,rounding numbers
463,9/22/17 14:07,HW/Project,I  m unsure how to round a given float in general; up or down;,6 - 15 minutes,,kale,9/22/17 14:15,14:15:50,int casting; rounding
414,9/22/17 14:09,HW/Project,I need help simplifying my code,16 - 30 minutes,,olive,9/22/17 14:16,14:16:23,help with simplifying days of the week
504,9/22/17 14:19,HW/Project,question with comparison ,< 5 minutes,,kale,9/22/17 14:29,14:29:54,long review - linux; conditions; branching
463,9/22/17 14:23,HW/Project,hw2_part2: The solution one of the TAs gave me sort of worked but I casted the input as a float so it will always be recognized as a float and never as an int which won  t allow for an input of 6 to be output as 6;,6 - 15 minutes,,olive,9/22/17 14:32,0:09:54,casting int() in the wrong place
491,9/22/17 14:36,Lab,When I run my program; it only runs what is in the if statement and not what is in the else statement no watermeloner what input i enter; How can I fix this?,6 - 15 minutes,,olive,9/22/17 14:38,0:02:24,mixed up and and or
414,9/22/17 14:52,HW/Project,I need help simplifying my code,16 - 30 minutes,,berry,9/22/17 15:04,15:04:03,understanding how mod works
354,9/22/17 14:57,HW/Project,hw2_part2;py; my program is not identifying variable ,31 - 60 minutes,,kale,9/22/17 15:08,15:08:03,branching logic for rounding
414,9/22/17 15:01,HW/Project,I need help simplifying my code,16 - 30 minutes,,,,,requested again
504,9/22/17 15:16,HW/Project,questions about errors,6 - 15 minutes,,berry,9/22/17 15:21,15:21:30,syntax error
171,9/22/17 15:18,HW/Project,My program doesn  t work,31 - 60 minutes,,berry,9/22/17 15:23,15:23:58,had a nice plan needed to see where it went wrong 
414,9/22/17 15:24,HW/Project,My code is ignoring my else statement,6 - 15 minutes,,quince,9/22/17 15:37,15:37:44,confrim if elif else structure
463,9/22/17 15:26,HW/Project,hw2_part3: debugging and weird syntax errors that make NO sense,6 - 15 minutes,,quince,9/22/17 15:40,15:40:40,missing ) line above syntax error 
407,9/22/17 15:29,Lab,I need my lab checked by my TA; berry; ,31 - 60 minutes,,berry,9/22/17 15:50,15:50:07,Checked her off
504,9/22/17 15:30,HW/Project,Math on question 2,< 5 minutes,,quince,9/22/17 15:43,15:43:30,needed alg walkthrough for hw (fishing for answers) 
354,9/22/17 15:40,HW/Project,negative numbers on python3,31 - 60 minutes,,berry,9/22/17 15:45,15:45:20,Had mistyped an input
504,9/22/17 16:38,HW/Project,submit homework,< 5 minutes,,cacao,9/22/17 16:45,16:45:11,walked through submitting
474,9/22/17 16:38,HW/Project,Homework 2; On Part 2; when rounding a negative Integer on the sample output it shows the integer rounding down  which does not make sense since it says rounding up; On part 6 I have a if/elif statement to print the correct day of the is that okay? On part 7 is there supposed to be only one if and one else statement?  ,< 5 minutes,,quince,9/22/17 16:39,16:39:59,condensing if statements 
555,9/25/17 10:24,HW/Project,While loop became an infinite loop,6 - 15 minutes,,watermelon,9/25/17 10:28,10:28:00,helped with understanding while loop; how and why to update the loop var
276,9/25/17 10:52,Lab,Getting my lab 03 checked for 7 points,6 - 15 minutes,,watermelon,9/25/17 10:52,10:52:57,checked lab 03 for 7 points; helped with understanding boolean operators and flow logic
555,9/25/17 11:03,HW/Project,Trouble with updating loop,6 - 15 minutes,,berry,9/25/17 11:11,11:11:01,Wanted to know how to update a variable within a while loop
193,9/25/17 11:35,HW/Project,I dont understand while loops,31 - 60 minutes,,berry,9/25/17 11:36,11:36:08,Need help understanding thaat the condition keeps checking; and and infinite loop the condition is never false
555,9/25/17 11:38,HW/Project,elif unexpected indentation error,6 - 15 minutes,,berry,9/25/17 11:42,11:42:48,Needed help with part 1; had the odd and even updates mixed up
112,9/25/17 11:57,HW/Project,main() has error,16 - 30 minutes,,berry,9/25/17 11:59,11:59:16,Needed help with placemrnt of input statement (not inside the loop!)
361,9/25/17 14:19,HW/Project,I dont know what to do next; im stuck,31 - 60 minutes,,coconut,9/25/17 14:23,14:23:20,was trying to use mod as height
549,9/25/17 14:28,HW/Project,infinite loop hw3_part1;py,16 - 30 minutes,,coconut,9/25/17 14:37,14:37:14,very sneaky; was using two ifs-- not exclusive
586,9/25/17 14:39,HW/Project,I have trouble understanding how the program calculates the answer in HW3 part4;,6 - 15 minutes,,coconut,9/25/17 14:44,14:44:56,was struggling with mod
555,9/25/17 14:39,HW/Project,Trouble with print statement,6 - 15 minutes,,coconut,9/25/17 14:59,14:59:51,needed help not printing height
549,9/25/17 14:48,HW/Project,hw3_part3;py am or pm is stuck in a loop,16 - 30 minutes,,mango,9/25/17 15:00,15:00:09,needed an and instead of an or
